2018-04-15T10.26.22  |1486073, 09
2018-04-15T10.26.22  |1486163, 3101FB00000000F3CC
2018-04-15T10.27.21  |1545155, 082131070A1B06CEC5
2018-04-15T10.27.21  |1545257, 053101FF
2018-04-15T10.27.21  |1545277, 03D5
2018-04-15T10.27.21  |1545364, 0521310960A1
2018-04-15T10.27.22  |1545470, 053121FF
2018-04-15T10.27.22  |1545487, 03D5
2018-04-15T10.27.22  |1545603, 0821310B000023E490
2018-04-15T10.27.22  |1545739, 053121FF03D5
2018-04-15T10.27.22  |1545832, 0621312900E00B
2018-04-15T10.27.22  |1545938, 053121FF03D5
2018-04-15T10.27.22  |1546021, 052131066083
2018-04-15T10.27.22  |1546188, 093101FB00000000F3CC
2018-04-15T10.28.21  |1605177, 082131070A1C065CC6
2018-04-15T10.28.21  |1605266, 053121FF
2018-04-15T10.28.21  |1605286, 03D5
2018-04-15T10.28.21  |1605376, 0521310160A1
2018-04-15T10.28.22  |1605476, 053121FF
2018-04-15T10.28.22  |1605495, 03D5
2018-04-15T10.28.22  |1605615, 0821310B000023E490
2018-04-15T10.28.22  |1605736, 053121FF00D5
2018-04-15T10.28.22  |1605835, 0621312900E0CB
2018-04-15T10.28.22  |1605896, 05
2018-04-15T10.28.22  |1605946, 3121FF03D5
2018-04-15T10.28.22  |1606034, 052131006003
2018-04-15T10.28.22  |1606157, 093101FB000000
2018-04-15T10.28.22  |1606186, 00F3CC
2018-04-15T10.29.21  |1665180, 082131070A1D06DAC5
2018-04-15T10.29.21  |1665266, 053121FF
2018-04-15T10.29.21  |1665287, 03D5
2018-04-15T10.29.21  |1665369, 0521310960A1
2018-04-15T10.29.22  |1665496, 053101FF03D5
2018-04-15T10.29.22  |1665608, 0821310B000023E490
2018-04-15T10.29.22  |1665747, 053121FF03D5
2018-04-15T10.29.23  |1665847, 0621312900E0CB
2018-04-15T10.29.23  |1665958, 053121FF03D5
2018-04-15T10.29.23  |1666046, 052131066083
2018-04-15T10.29.23  |1666126, 0931
2018-04-15T10.29.23  |1666156, 21FB00
2018-04-15T10.29.24  |1666206, 000000F3CC
2018-04-15T10.30.21  |1725143, 082131070A1E06D0C5
2018-04-15T10.30.21  |1725215, 05
2018-04-15T10.30.21  |1725267, 3120FF03D5
2018-04-15T10.30.21  |1725352, 0521310960A1
2018-04-15T10.30.22  |1725455, 053121FF
2018-04-15T10.30.22  |1725476, 03D5
